fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,is_suppressed
2020-2021,2020,Female,Less urgent,3,20-44,Young Adult,578706,138.0,2.3,0
2020-2021,2020,Female,Non-urgent,3,20-44,Young Adult,197569,90.0,1.5,0
2020-2021,2020,Female,Unknown,3,20-44,Young Adult,15349,72.0,1.2,0
2020-2021,2020,Female,CTAS III - Urgent,3,45-64,Middle Adult,641767,222.0,3.7,0
2020-2021,2020,Female,Less urgent,3,45-64,Middle Adult,385001,144.0,2.4,0
2020-2021,2020,Female,Non-urgent,3,45-64,Middle Adult,131331,90.0,1.5,0
2020-2021,2020,Female,Unknown,3,45-64,Middle Adult,8911,72.0,1.2,0
2020-2021,2020,Female,CTAS III - Urgent,3,65+,Older Adult,758512,324.0,5.4,0
2020-2021,2020,Female,Less urgent,3,65+,Older Adult,341066,204.0,3.4,0
2020-2021,2020,Female,Non-urgent,3,65+,Older Adult,97502,108.0,1.8,0
2020-2021,2020,Female,Unknown,3,65+,Older Adult,7247,96.0,1.6,0
2020-2021,2020,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,350568,144.0,2.4,0
2020-2021,2020,Male,Less urgent,3,0-19,Pediatric & Youth,296983,114.0,1.9,0
2020-2021,2020,Male,Non-urgent,3,0-19,Pediatric & Youth,86566,84.0,1.4,0
2020-2021,2020,Male,Unknown,3,0-19,Pediatric & Youth,4976,66.0,1.1,0
2020-2021,2020,Male,CTAS III - Urgent,3,20-44,Young Adult,756048,180.0,3.0,0
2020-2021,2020,Male,Less urgent,3,20-44,Young Adult,557757,126.0,2.1,0
2020-2021,2020,Male,Non-urgent,3,20-44,Young Adult,197068,84.0,1.4,0
2020-2021,2020,Male,Unknown,3,20-44,Young Adult,12744,72.0,1.2,0
2020-2021,2020,Male,CTAS III - Urgent,3,45-64,Middle Adult,630928,222.0,3.7,0
2020-2021,2020,Male,Less urgent,3,45-64,Middle Adult,404351,138.0,2.3,0
2020-2021,2020,Male,Non-urgent,3,45-64,Middle Adult,148931,90.0,1.5,0
2020-2021,2020,Male,Unknown,3,45-64,Middle Adult,9888,72.0,1.2,0
2020-2021,2020,Male,CTAS III - Urgent,3,65+,Older Adult,659773,312.0,5.2,0
2020-2021,2020,Male,Less urgent,3,65+,Older Adult,316617,180.0,3.0,0
2020-2021,2020,Male,Non-urgent,3,65+,Older Adult,109587,96.0,1.6,0
2020-2021,2020,Male,Unknown,3,65+,Older Adult,8170,90.0,1.5,0
2019-2020,2019,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,11171,225.0,3.75,0
2019-2020,2019,Female,CTAS I - Resuscitation,1,20-44,Young Adult,10428,300.0,5.0,0
2019-2020,2019,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,11717,312.0,5.2,0
2019-2020,2019,Female,CTAS I - Resuscitation,1,65+,Older Adult,26246,396.0,6.6,0
2019-2020,2019,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,13576,222.0,3.7,0
2019-2020,2019,Male,CTAS I - Resuscitation,1,20-44,Young Adult,16987,294.0,4.9,0
2019-2020,2019,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,19569,276.0,4.6,0
2019-2020,2019,Male,CTAS I - Resuscitation,1,65+,Older Adult,29754,336.0,5.6,0
2019-2020,2019,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,222760,204.0,3.4,0
2019-2020,2019,Female,CTAS II - Emergent,2,20-44,Young Adult,397988,264.0,4.4,0
2019-2020,2019,Female,CTAS II - Emergent,2,45-64,Middle Adult,320311,294.0,4.9,0
2019-2020,2019,Female,CTAS II - Emergent,2,65+,Older Adult,363505,396.0,6.6,0
2019-2020,2019,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,242570,192.0,3.2,0
2019-2020,2019,Male,CTAS II - Emergent,2,20-44,Young Adult,341604,258.0,4.3,0
2019-2020,2019,Male,CTAS II - Emergent,2,45-64,Middle Adult,343621,306.0,5.1,0
2019-2020,2019,Male,CTAS II - Emergent,2,65+,Older Adult,349236,396.0,6.6,0
2019-2020,2019,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,626146,168.0,2.8,0
2019-2020,2019,Female,Less urgent,3,0-19,Pediatric & Youth,499013,132.0,2.2,0
2019-2020,2019,Female,Non-urgent,3,0-19,Pediatric & Youth,141081,114.0,1.9,0
2019-2020,2019,Female,Unknown,3,0-19,Pediatric & Youth,9980,72.0,1.2,0
