fiscal_year,fiscal_year_start,sex,visit_disposition,admission_flag,admission_status,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi,is_suppressed
2003-2004,2003,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2136,132.0,2.2,281952,0
2003-2004,2003,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,3620,161.0,2.6833,582820,0
2003-2004,2003,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,2507,180.0,3.0,451260,0
2003-2004,2003,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1692,203.0,3.3833,343476,0
2003-2004,2003,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,25699,100.0,1.6667,2569900,0
2003-2004,2003,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,42487,115.0,1.9167,4886005,0
2003-2004,2003,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,16212,115.0,1.9167,1864380,0
2003-2004,2003,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,7776,119.0,1.9833,925344,0
2003-2004,2003,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,27409,98.0,1.6333,2686082,0
2003-2004,2003,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,40011,115.0,1.9167,4601265,0
2003-2004,2003,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,17968,116.0,1.9333,2084288,0
2003-2004,2003,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,7185,114.0,1.9,819090,0
2003-2004,2003,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,4082,171.0,2.85,698022,0
2003-2004,2003,Female,Transferred,0,Not Admitted,20-44,Young Adult,5756,210.0,3.5,1208760,0
2003-2004,2003,Female,Transferred,0,Not Admitted,45-64,Middle Adult,3916,246.0,4.1,963336,0
2003-2004,2003,Female,Transferred,0,Not Admitted,65+,Older Adult,5621,265.0,4.4167,1489565,0
2003-2004,2003,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,5571,164.0,2.7333,913644,0
2003-2004,2003,Male,Transferred,0,Not Admitted,20-44,Young Adult,6687,207.0,3.45,1384209,0
2003-2004,2003,Male,Transferred,0,Not Admitted,45-64,Middle Adult,5617,218.0,3.6333,1224506,0
2003-2004,2003,Male,Transferred,0,Not Admitted,65+,Older Adult,5131,247.0,4.1167,1267357,0
2003-2004,2003,Female,Unknown,0,Not Admitted,0-19,Pediatric & Youth,6827,54.0,0.9,368658,0
2003-2004,2003,Female,Unknown,0,Not Admitted,20-44,Young Adult,7229,60.0,1.0,433740,0
2003-2004,2003,Female,Unknown,0,Not Admitted,45-64,Middle Adult,4832,66.0,1.1,318912,0
2003-2004,2003,Female,Unknown,0,Not Admitted,65+,Older Adult,4506,90.0,1.5,405540,0
2003-2004,2003,Male,Unknown,0,Not Admitted,0-19,Pediatric & Youth,6371,55.0,0.9167,350405,0
2003-2004,2003,Male,Unknown,0,Not Admitted,20-44,Young Adult,6254,58.0,0.9667,362732,0
2003-2004,2003,Male,Unknown,0,Not Admitted,45-64,Middle Adult,4659,64.0,1.0667,298176,0
2003-2004,2003,Male,Unknown,0,Not Admitted,65+,Older Adult,3932,83.0,1.3833,326356,0
