fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2020-2021,2020,Male,CTAS II - Emergent,2,45-64,Middle Adult,301910,300,5.0
2020-2021,2020,Male,CTAS II - Emergent,2,65+,Older Adult,298749,384,6.4
2020-2021,2020,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,366413,156,2.6
2020-2021,2020,Female,Less urgent,3,0-19,Pediatric & Youth,283089,120,2.0
2020-2021,2020,Female,Non-urgent,3,0-19,Pediatric & Youth,83406,90,1.5
2020-2021,2020,Female,Unknown,3,0-19,Pediatric & Youth,5008,66,1.1
2020-2021,2020,Female,CTAS III - Urgent,3,20-44,Young Adult,986442,198,3.3
2020-2021,2020,Female,Less urgent,3,20-44,Young Adult,578706,138,2.3
2020-2021,2020,Female,Non-urgent,3,20-44,Young Adult,197569,90,1.5
2020-2021,2020,Female,Unknown,3,20-44,Young Adult,15349,72,1.2
2020-2021,2020,Female,CTAS III - Urgent,3,45-64,Middle Adult,641767,222,3.7
2020-2021,2020,Female,Less urgent,3,45-64,Middle Adult,385001,144,2.4
2020-2021,2020,Female,Non-urgent,3,45-64,Middle Adult,131331,90,1.5
2020-2021,2020,Female,Unknown,3,45-64,Middle Adult,8911,72,1.2
2020-2021,2020,Female,CTAS III - Urgent,3,65+,Older Adult,758512,324,5.4
2020-2021,2020,Female,Less urgent,3,65+,Older Adult,341066,204,3.4
2020-2021,2020,Female,Non-urgent,3,65+,Older Adult,97502,108,1.8
2020-2021,2020,Female,Unknown,3,65+,Older Adult,7247,96,1.6
2020-2021,2020,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,350568,144,2.4
2020-2021,2020,Male,Less urgent,3,0-19,Pediatric & Youth,296983,114,1.9
2020-2021,2020,Male,Non-urgent,3,0-19,Pediatric & Youth,86566,84,1.4
2020-2021,2020,Male,Unknown,3,0-19,Pediatric & Youth,4976,66,1.1
2020-2021,2020,Male,CTAS III - Urgent,3,20-44,Young Adult,756048,180,3.0
2020-2021,2020,Male,Less urgent,3,20-44,Young Adult,557757,126,2.1
2020-2021,2020,Male,Non-urgent,3,20-44,Young Adult,197068,84,1.4
2020-2021,2020,Male,Unknown,3,20-44,Young Adult,12744,72,1.2
2020-2021,2020,Male,CTAS III - Urgent,3,45-64,Middle Adult,630928,222,3.7
2020-2021,2020,Male,Less urgent,3,45-64,Middle Adult,404351,138,2.3
2020-2021,2020,Male,Non-urgent,3,45-64,Middle Adult,148931,90,1.5
2020-2021,2020,Male,Unknown,3,45-64,Middle Adult,9888,72,1.2
2020-2021,2020,Male,CTAS III - Urgent,3,65+,Older Adult,659773,312,5.2
2020-2021,2020,Male,Less urgent,3,65+,Older Adult,316617,180,3.0
2020-2021,2020,Male,Non-urgent,3,65+,Older Adult,109587,96,1.6
2020-2021,2020,Male,Unknown,3,65+,Older Adult,8170,90,1.5
2019-2020,2019,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,11171,225,3.75
2019-2020,2019,Female,CTAS I - Resuscitation,1,20-44,Young Adult,10428,300,5.0
2019-2020,2019,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,11717,312,5.2
2019-2020,2019,Female,CTAS I - Resuscitation,1,65+,Older Adult,26246,396,6.6
2019-2020,2019,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,13576,222,3.7
2019-2020,2019,Male,CTAS I - Resuscitation,1,20-44,Young Adult,16987,294,4.9
2019-2020,2019,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,19569,276,4.6
2019-2020,2019,Male,CTAS I - Resuscitation,1,65+,Older Adult,29754,336,5.6
2019-2020,2019,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,222760,204,3.4
2019-2020,2019,Female,CTAS II - Emergent,2,20-44,Young Adult,397988,264,4.4
2019-2020,2019,Female,CTAS II - Emergent,2,45-64,Middle Adult,320311,294,4.9
2019-2020,2019,Female,CTAS II - Emergent,2,65+,Older Adult,363505,396,6.6
2019-2020,2019,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,242570,192,3.2
2019-2020,2019,Male,CTAS II - Emergent,2,20-44,Young Adult,341604,258,4.3
2019-2020,2019,Male,CTAS II - Emergent,2,45-64,Middle Adult,343621,306,5.1
2019-2020,2019,Male,CTAS II - Emergent,2,65+,Older Adult,349236,396,6.6
2019-2020,2019,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,626146,168,2.8
2019-2020,2019,Female,Less urgent,3,0-19,Pediatric & Youth,499013,132,2.2
2019-2020,2019,Female,Non-urgent,3,0-19,Pediatric & Youth,141081,114,1.9
2019-2020,2019,Female,Unknown,3,0-19,Pediatric & Youth,9980,72,1.2
2019-2020,2019,Female,CTAS III - Urgent,3,20-44,Young Adult,1165671,210,3.5
2019-2020,2019,Female,Less urgent,3,20-44,Young Adult,764252,150,2.5
2019-2020,2019,Female,Non-urgent,3,20-44,Young Adult,264595,114,1.9
2019-2020,2019,Female,Unknown,3,20-44,Young Adult,20721,78,1.3
2019-2020,2019,Female,CTAS III - Urgent,3,45-64,Middle Adult,754352,234,3.9
2019-2020,2019,Female,Less urgent,3,45-64,Middle Adult,504382,156,2.6
2019-2020,2019,Female,Non-urgent,3,45-64,Middle Adult,179597,114,1.9
2019-2020,2019,Female,Unknown,3,45-64,Middle Adult,12074,78,1.3
2019-2020,2019,Female,CTAS III - Urgent,3,65+,Older Adult,885749,330,5.5
2019-2020,2019,Female,Less urgent,3,65+,Older Adult,453188,216,3.6
