fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2015-2016,2015,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,509726,138,2.3
2015-2016,2015,Male,Less urgent,3,0-19,Pediatric & Youth,513618,102,1.7
2015-2016,2015,Male,Non-urgent,3,0-19,Pediatric & Youth,68002,84,1.4
2015-2016,2015,Male,Unknown,3,0-19,Pediatric & Youth,13594,60,1.0
2015-2016,2015,Male,CTAS III - Urgent,3,20-44,Young Adult,640558,174,2.9
2015-2016,2015,Male,Less urgent,3,20-44,Young Adult,605736,108,1.8
2015-2016,2015,Male,Non-urgent,3,20-44,Young Adult,121951,84,1.4
2015-2016,2015,Male,Unknown,3,20-44,Young Adult,18432,66,1.1
2015-2016,2015,Male,CTAS III - Urgent,3,45-64,Middle Adult,529602,204,3.4
2015-2016,2015,Male,Less urgent,3,45-64,Middle Adult,403557,114,1.9
2015-2016,2015,Male,Non-urgent,3,45-64,Middle Adult,94994,78,1.3
2015-2016,2015,Male,Unknown,3,45-64,Middle Adult,14590,72,1.2
2015-2016,2015,Male,CTAS III - Urgent,3,65+,Older Adult,486423,270,4.5
2015-2016,2015,Male,Less urgent,3,65+,Older Adult,247659,126,2.1
2015-2016,2015,Male,Non-urgent,3,65+,Older Adult,60200,78,1.3
2015-2016,2015,Male,Unknown,3,65+,Older Adult,10484,84,1.4
2014-2015,2014,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4464,234,3.9
2014-2015,2014,Female,CTAS I - Resuscitation,1,20-44,Young Adult,6079,270,4.5
2014-2015,2014,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,7202,276,4.6
2014-2015,2014,Female,CTAS I - Resuscitation,1,65+,Older Adult,14338,354,5.9
2014-2015,2014,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,6195,228,3.8
2014-2015,2014,Male,CTAS I - Resuscitation,1,20-44,Young Adult,9984,264,4.4
2014-2015,2014,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,12039,246,4.1
2014-2015,2014,Male,CTAS I - Resuscitation,1,65+,Older Adult,15953,294,4.9
2014-2015,2014,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,134503,198,3.3
2014-2015,2014,Female,CTAS II - Emergent,2,20-44,Young Adult,252381,246,4.1
2014-2015,2014,Female,CTAS II - Emergent,2,45-64,Middle Adult,225866,288,4.8
2014-2015,2014,Female,CTAS II - Emergent,2,65+,Older Adult,261141,390,6.5
2014-2015,2014,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,154895,186,3.1
2014-2015,2014,Male,CTAS II - Emergent,2,20-44,Young Adult,226393,240,4.0
2014-2015,2014,Male,CTAS II - Emergent,2,45-64,Middle Adult,249514,300,5.0
2014-2015,2014,Male,CTAS II - Emergent,2,65+,Older Adult,240357,390,6.5
2014-2015,2014,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,479999,144,2.4
2014-2015,2014,Female,Less urgent,3,0-19,Pediatric & Youth,490435,102,1.7
2014-2015,2014,Female,Non-urgent,3,0-19,Pediatric & Youth,69752,84,1.4
2014-2015,2014,Female,Unknown,3,0-19,Pediatric & Youth,16356,72,1.2
2014-2015,2014,Female,CTAS III - Urgent,3,20-44,Young Adult,869380,186,3.1
2014-2015,2014,Female,Less urgent,3,20-44,Young Adult,662917,108,1.8
2014-2015,2014,Female,Non-urgent,3,20-44,Young Adult,130886,84,1.4
2014-2015,2014,Female,Unknown,3,20-44,Young Adult,27478,78,1.3
2014-2015,2014,Female,CTAS III - Urgent,3,45-64,Middle Adult,553665,204,3.4
2014-2015,2014,Female,Less urgent,3,45-64,Middle Adult,411256,114,1.9
2014-2015,2014,Female,Non-urgent,3,45-64,Middle Adult,85325,78,1.3
2014-2015,2014,Female,Unknown,3,45-64,Middle Adult,15978,78,1.3
2014-2015,2014,Female,CTAS III - Urgent,3,65+,Older Adult,583438,282,4.7
2014-2015,2014,Female,Less urgent,3,65+,Older Adult,281770,132,2.2
2014-2015,2014,Female,Non-urgent,3,65+,Older Adult,58117,84,1.4
2014-2015,2014,Female,Unknown,3,65+,Older Adult,11908,102,1.7
2014-2015,2014,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,496960,132,2.2
2014-2015,2014,Male,Less urgent,3,0-19,Pediatric & Youth,521605,102,1.7
2014-2015,2014,Male,Non-urgent,3,0-19,Pediatric & Youth,72042,78,1.3
2014-2015,2014,Male,Unknown,3,0-19,Pediatric & Youth,16915,72,1.2
2014-2015,2014,Male,CTAS III - Urgent,3,20-44,Young Adult,616771,168,2.8
2014-2015,2014,Male,Less urgent,3,20-44,Young Adult,614938,108,1.8
2014-2015,2014,Male,Non-urgent,3,20-44,Young Adult,130194,84,1.4
2014-2015,2014,Male,Unknown,3,20-44,Young Adult,21246,72,1.2
2014-2015,2014,Male,CTAS III - Urgent,3,45-64,Middle Adult,505983,204,3.4
2014-2015,2014,Male,Less urgent,3,45-64,Middle Adult,399276,108,1.8
2014-2015,2014,Male,Non-urgent,3,45-64,Middle Adult,99944,78,1.3
2014-2015,2014,Male,Unknown,3,45-64,Middle Adult,17113,78,1.3
2014-2015,2014,Male,CTAS III - Urgent,3,65+,Older Adult,460515,270,4.5
2014-2015,2014,Male,Less urgent,3,65+,Older Adult,239737,126,2.1
2014-2015,2014,Male,Non-urgent,3,65+,Older Adult,61989,78,1.3
2014-2015,2014,Male,Unknown,3,65+,Older Adult,11846,90,1.5
2013-2014,2013,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4059,234,3.9
2013-2014,2013,Female,CTAS I - Resuscitation,1,20-44,Young Adult,5243,258,4.3
2013-2014,2013,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,6400,276,4.6
2013-2014,2013,Female,CTAS I - Resuscitation,1,65+,Older Adult,12670,354,5.9
2013-2014,2013,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,5491,222,3.7
2013-2014,2013,Male,CTAS I - Resuscitation,1,20-44,Young Adult,8518,258,4.3
2013-2014,2013,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,11335,252,4.2
2013-2014,2013,Male,CTAS I - Resuscitation,1,65+,Older Adult,14055,294,4.9
2013-2014,2013,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,120186,198,3.3
2013-2014,2013,Female,CTAS II - Emergent,2,20-44,Young Adult,232571,246,4.1
2013-2014,2013,Female,CTAS II - Emergent,2,45-64,Middle Adult,211236,288,4.8
2013-2014,2013,Female,CTAS II - Emergent,2,65+,Older Adult,236608,384,6.4
2013-2014,2013,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,139707,180,3.0
2013-2014,2013,Male,CTAS II - Emergent,2,20-44,Young Adult,208559,240,4.0
2013-2014,2013,Male,CTAS II - Emergent,2,45-64,Middle Adult,234424,300,5.0
2013-2014,2013,Male,CTAS II - Emergent,2,65+,Older Adult,218483,384,6.4
2013-2014,2013,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,445482,144,2.4
2013-2014,2013,Female,Less urgent,3,0-19,Pediatric & Youth,472918,96,1.6
2013-2014,2013,Female,Non-urgent,3,0-19,Pediatric & Youth,76138,78,1.3
2013-2014,2013,Female,Unknown,3,0-19,Pediatric & Youth,14394,66,1.1
2013-2014,2013,Female,CTAS III - Urgent,3,20-44,Young Adult,823268,186,3.1
2013-2014,2013,Female,Less urgent,3,20-44,Young Adult,662305,108,1.8
2013-2014,2013,Female,Non-urgent,3,20-44,Young Adult,138679,78,1.3
2013-2014,2013,Female,Unknown,3,20-44,Young Adult,26273,72,1.2
2013-2014,2013,Female,CTAS III - Urgent,3,45-64,Middle Adult,520872,204,3.4
2013-2014,2013,Female,Less urgent,3,45-64,Middle Adult,406164,108,1.8
2013-2014,2013,Female,Non-urgent,3,45-64,Middle Adult,89743,78,1.3
2013-2014,2013,Female,Unknown,3,45-64,Middle Adult,16415,72,1.2
2013-2014,2013,Female,CTAS III - Urgent,3,65+,Older Adult,526896,282,4.7
2013-2014,2013,Female,Less urgent,3,65+,Older Adult,272063,132,2.2
2013-2014,2013,Female,Non-urgent,3,65+,Older Adult,59147,84,1.4
2013-2014,2013,Female,Unknown,3,65+,Older Adult,12637,96,1.6
2013-2014,2013,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,465111,132,2.2
2013-2014,2013,Male,Less urgent,3,0-19,Pediatric & Youth,505479,96,1.6
2013-2014,2013,Male,Non-urgent,3,0-19,Pediatric & Youth,78205,78,1.3
2013-2014,2013,Male,Unknown,3,0-19,Pediatric & Youth,15243,66,1.1
2013-2014,2013,Male,CTAS III - Urgent,3,20-44,Young Adult,579788,168,2.8
2013-2014,2013,Male,Less urgent,3,20-44,Young Adult,610243,108,1.8
2013-2014,2013,Male,Non-urgent,3,20-44,Young Adult,136311,78,1.3
2013-2014,2013,Male,Unknown,3,20-44,Young Adult,20749,66,1.1
2013-2014,2013,Male,CTAS III - Urgent,3,45-64,Middle Adult,476040,198,3.3
2013-2014,2013,Male,Less urgent,3,45-64,Middle Adult,397640,108,1.8
2013-2014,2013,Male,Non-urgent,3,45-64,Middle Adult,104294,72,1.2
2013-2014,2013,Male,Unknown,3,45-64,Middle Adult,17392,72,1.2
2013-2014,2013,Male,CTAS III - Urgent,3,65+,Older Adult,417162,270,4.5
2013-2014,2013,Male,Less urgent,3,65+,Older Adult,230046,120,2.0
2013-2014,2013,Male,Non-urgent,3,65+,Older Adult,62311,72,1.2
2013-2014,2013,Male,Unknown,3,65+,Older Adult,13172,84,1.4
2012-2013,2012,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,3597,220,3.67
2012-2013,2012,Female,CTAS I - Resuscitation,1,20-44,Young Adult,4504,255,4.25
2012-2013,2012,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,5699,276,4.6
2012-2013,2012,Female,CTAS I - Resuscitation,1,65+,Older Adult,11102,347,5.78
2012-2013,2012,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,5295,218,3.63
2012-2013,2012,Male,CTAS I - Resuscitation,1,20-44,Young Adult,7557,248,4.13
2012-2013,2012,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,10013,228,3.8
2012-2013,2012,Male,CTAS I - Resuscitation,1,65+,Older Adult,12487,278,4.63
2012-2013,2012,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,107374,198,3.3
2012-2013,2012,Female,CTAS II - Emergent,2,20-44,Young Adult,199249,247,4.12
2012-2013,2012,Female,CTAS II - Emergent,2,45-64,Middle Adult,189113,289,4.82
2012-2013,2012,Female,CTAS II - Emergent,2,65+,Older Adult,212811,384,6.4
2012-2013,2012,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,129177,183,3.05
2012-2013,2012,Male,CTAS II - Emergent,2,20-44,Young Adult,183994,239,3.98
2012-2013,2012,Male,CTAS II - Emergent,2,45-64,Middle Adult,213262,300,5.0
2012-2013,2012,Male,CTAS II - Emergent,2,65+,Older Adult,195296,384,6.4
2012-2013,2012,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,428114,144,2.4
2012-2013,2012,Female,Less urgent,3,0-19,Pediatric & Youth,485561,98,1.63
2012-2013,2012,Female,Non-urgent,3,0-19,Pediatric & Youth,80311,74,1.23
2012-2013,2012,Female,Unknown,3,0-19,Pediatric & Youth,18016,61,1.02
2012-2013,2012,Female,CTAS III - Urgent,3,20-44,Young Adult,776013,189,3.15
2012-2013,2012,Female,Less urgent,3,20-44,Young Adult,664890,108,1.8
2012-2013,2012,Female,Non-urgent,3,20-44,Young Adult,142765,77,1.28
2012-2013,2012,Female,Unknown,3,20-44,Young Adult,30889,64,1.07
2012-2013,2012,Female,CTAS III - Urgent,3,45-64,Middle Adult,489892,205,3.42
2012-2013,2012,Female,Less urgent,3,45-64,Middle Adult,410790,110,1.83
2012-2013,2012,Female,Non-urgent,3,45-64,Middle Adult,94401,73,1.22
2012-2013,2012,Female,Unknown,3,45-64,Middle Adult,19315,68,1.13
2012-2013,2012,Female,CTAS III - Urgent,3,65+,Older Adult,496741,284,4.73
2012-2013,2012,Female,Less urgent,3,65+,Older Adult,271390,134,2.23
2012-2013,2012,Female,Non-urgent,3,65+,Older Adult,59870,79,1.32
2012-2013,2012,Female,Unknown,3,65+,Older Adult,14618,85,1.42
2012-2013,2012,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,453137,133,2.22
2012-2013,2012,Male,Less urgent,3,0-19,Pediatric & Youth,520140,96,1.6
2012-2013,2012,Male,Non-urgent,3,0-19,Pediatric & Youth,82654,73,1.22
2012-2013,2012,Male,Unknown,3,0-19,Pediatric & Youth,19062,61,1.02
2012-2013,2012,Male,CTAS III - Urgent,3,20-44,Young Adult,547268,171,2.85
2012-2013,2012,Male,Less urgent,3,20-44,Young Adult,616682,105,1.75
2012-2013,2012,Male,Non-urgent,3,20-44,Young Adult,138881,76,1.27
2012-2013,2012,Male,Unknown,3,20-44,Young Adult,23369,61,1.02
2012-2013,2012,Male,CTAS III - Urgent,3,45-64,Middle Adult,450023,203,3.38
2012-2013,2012,Male,Less urgent,3,45-64,Middle Adult,398434,109,1.82
2012-2013,2012,Male,Non-urgent,3,45-64,Middle Adult,106278,70,1.17
2012-2013,2012,Male,Unknown,3,45-64,Middle Adult,19439,65,1.08
2012-2013,2012,Male,CTAS III - Urgent,3,65+,Older Adult,389327,272,4.53
2012-2013,2012,Male,Less urgent,3,65+,Older Adult,225124,124,2.07
2012-2013,2012,Male,Non-urgent,3,65+,Older Adult,63065,71,1.18
2012-2013,2012,Male,Unknown,3,65+,Older Adult,14527,77,1.28
2011-2012,2011,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,3373,227,3.78
2011-2012,2011,Female,CTAS I - Resuscitation,1,20-44,Young Adult,3878,263,4.38
2011-2012,2011,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,5012,279,4.65
2011-2012,2011,Female,CTAS I - Resuscitation,1,65+,Older Adult,9704,351,5.85
2011-2012,2011,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4857,220,3.67
2011-2012,2011,Male,CTAS I - Resuscitation,1,20-44,Young Adult,6437,249,4.15
2011-2012,2011,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,8624,239,3.98
2011-2012,2011,Male,CTAS I - Resuscitation,1,65+,Older Adult,10964,285,4.75
2011-2012,2011,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,91777,200,3.33
2011-2012,2011,Female,CTAS II - Emergent,2,20-44,Young Adult,169526,253,4.22
2011-2012,2011,Female,CTAS II - Emergent,2,45-64,Middle Adult,162830,300,5.0
2011-2012,2011,Female,CTAS II - Emergent,2,65+,Older Adult,179709,404,6.73
2011-2012,2011,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,113951,185,3.08
2011-2012,2011,Male,CTAS II - Emergent,2,20-44,Young Adult,159322,241,4.02
2011-2012,2011,Male,CTAS II - Emergent,2,45-64,Middle Adult,184219,309,5.15
2011-2012,2011,Male,CTAS II - Emergent,2,65+,Older Adult,163537,401,6.68
2011-2012,2011,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,379190,146,2.43
2011-2012,2011,Female,Less urgent,3,0-19,Pediatric & Youth,460621,98,1.63
2011-2012,2011,Female,Non-urgent,3,0-19,Pediatric & Youth,79843,73,1.22
2011-2012,2011,Female,Unknown,3,0-19,Pediatric & Youth,20479,68,1.13
2011-2012,2011,Female,CTAS III - Urgent,3,20-44,Young Adult,673055,193,3.22
2011-2012,2011,Female,Less urgent,3,20-44,Young Adult,626835,110,1.83
2011-2012,2011,Female,Non-urgent,3,20-44,Young Adult,141541,75,1.25
2011-2012,2011,Female,Unknown,3,20-44,Young Adult,29912,66,1.1
2011-2012,2011,Female,CTAS III - Urgent,3,45-64,Middle Adult,425069,210,3.5
2011-2012,2011,Female,Less urgent,3,45-64,Middle Adult,386392,110,1.83
2011-2012,2011,Female,Non-urgent,3,45-64,Middle Adult,97276,70,1.17
2011-2012,2011,Female,Unknown,3,45-64,Middle Adult,18654,69,1.15
2011-2012,2011,Female,CTAS III - Urgent,3,65+,Older Adult,419922,293,4.88
2011-2012,2011,Female,Less urgent,3,65+,Older Adult,248502,135,2.25
2011-2012,2011,Female,Non-urgent,3,65+,Older Adult,59613,77,1.28
2011-2012,2011,Female,Unknown,3,65+,Older Adult,13231,83,1.38
2011-2012,2011,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,404262,136,2.27
2011-2012,2011,Male,Less urgent,3,0-19,Pediatric & Youth,492476,97,1.62
2011-2012,2011,Male,Non-urgent,3,0-19,Pediatric & Youth,82333,71,1.18
2011-2012,2011,Male,Unknown,3,0-19,Pediatric & Youth,20819,65,1.08
2011-2012,2011,Male,CTAS III - Urgent,3,20-44,Young Adult,478859,173,2.88
2011-2012,2011,Male,Less urgent,3,20-44,Young Adult,577574,107,1.78
2011-2012,2011,Male,Non-urgent,3,20-44,Young Adult,137102,75,1.25
2011-2012,2011,Male,Unknown,3,20-44,Young Adult,21863,64,1.07
2011-2012,2011,Male,CTAS III - Urgent,3,45-64,Middle Adult,389989,206,3.43
2011-2012,2011,Male,Less urgent,3,45-64,Middle Adult,370554,110,1.83
2011-2012,2011,Male,Non-urgent,3,45-64,Middle Adult,106520,70,1.17
2011-2012,2011,Male,Unknown,3,45-64,Middle Adult,18274,66,1.1
2011-2012,2011,Male,CTAS III - Urgent,3,65+,Older Adult,326771,281,4.68
2011-2012,2011,Male,Less urgent,3,65+,Older Adult,203130,125,2.08
2011-2012,2011,Male,Non-urgent,3,65+,Older Adult,62780,68,1.13
2011-2012,2011,Male,Unknown,3,65+,Older Adult,13424,75,1.25
2010-2011,2010,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,3067,224,3.73
2010-2011,2010,Female,CTAS I - Resuscitation,1,20-44,Young Adult,3105,252,4.2
2010-2011,2010,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,4266,266,4.43
2010-2011,2010,Female,CTAS I - Resuscitation,1,65+,Older Adult,8376,341,5.68
2010-2011,2010,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4593,221,3.68
2010-2011,2010,Male,CTAS I - Resuscitation,1,20-44,Young Adult,5264,244,4.07
2010-2011,2010,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,7777,232,3.87
2010-2011,2010,Male,CTAS I - Resuscitation,1,65+,Older Adult,9429,276,4.6
2010-2011,2010,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,82102,202,3.37
2010-2011,2010,Female,CTAS II - Emergent,2,20-44,Young Adult,143374,256,4.27
2010-2011,2010,Female,CTAS II - Emergent,2,45-64,Middle Adult,139220,307,5.12
2010-2011,2010,Female,CTAS II - Emergent,2,65+,Older Adult,155694,420,7.0
2010-2011,2010,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,103566,190,3.17
2010-2011,2010,Male,CTAS II - Emergent,2,20-44,Young Adult,135026,245,4.08
2010-2011,2010,Male,CTAS II - Emergent,2,45-64,Middle Adult,157450,316,5.27
2010-2011,2010,Male,CTAS II - Emergent,2,65+,Older Adult,140288,413,6.88
2010-2011,2010,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,344835,149,2.48
2010-2011,2010,Female,Less urgent,3,0-19,Pediatric & Youth,427632,99,1.65
2010-2011,2010,Female,Non-urgent,3,0-19,Pediatric & Youth,75665,69,1.15
2010-2011,2010,Female,Unknown,3,0-19,Pediatric & Youth,21283,65,1.08
2010-2011,2010,Female,CTAS III - Urgent,3,20-44,Young Adult,585134,194,3.23
2010-2011,2010,Female,Less urgent,3,20-44,Young Adult,574303,109,1.82
2010-2011,2010,Female,Non-urgent,3,20-44,Young Adult,136346,71,1.18
2010-2011,2010,Female,Unknown,3,20-44,Young Adult,34487,67,1.12
2010-2011,2010,Female,CTAS III - Urgent,3,45-64,Middle Adult,368131,210,3.5
2010-2011,2010,Female,Less urgent,3,45-64,Middle Adult,353474,110,1.83
2010-2011,2010,Female,Non-urgent,3,45-64,Middle Adult,93683,70,1.17
2010-2011,2010,Female,Unknown,3,45-64,Middle Adult,22630,65,1.08
2010-2011,2010,Female,CTAS III - Urgent,3,65+,Older Adult,362097,297,4.95
2010-2011,2010,Female,Less urgent,3,65+,Older Adult,226821,135,2.25
2010-2011,2010,Female,Non-urgent,3,65+,Older Adult,59186,74,1.23
2010-2011,2010,Female,Unknown,3,65+,Older Adult,15777,78,1.3
2010-2011,2010,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,369759,139,2.32
2010-2011,2010,Male,Less urgent,3,0-19,Pediatric & Youth,460949,98,1.63
2010-2011,2010,Male,Non-urgent,3,0-19,Pediatric & Youth,78880,69,1.15
2010-2011,2010,Male,Unknown,3,0-19,Pediatric & Youth,22057,63,1.05
2010-2011,2010,Male,CTAS III - Urgent,3,20-44,Young Adult,416376,174,2.9
2010-2011,2010,Male,Less urgent,3,20-44,Young Adult,526584,107,1.78
2010-2011,2010,Male,Non-urgent,3,20-44,Young Adult,128070,73,1.22
2010-2011,2010,Male,Unknown,3,20-44,Young Adult,24707,64,1.07
2010-2011,2010,Male,CTAS III - Urgent,3,45-64,Middle Adult,336415,205,3.42
2010-2011,2010,Male,Less urgent,3,45-64,Middle Adult,337351,109,1.82
2010-2011,2010,Male,Non-urgent,3,45-64,Middle Adult,103715,67,1.12
2010-2011,2010,Male,Unknown,3,45-64,Middle Adult,22753,63,1.05
2010-2011,2010,Male,CTAS III - Urgent,3,65+,Older Adult,281252,284,4.73
2010-2011,2010,Male,Less urgent,3,65+,Older Adult,181519,125,2.08
2010-2011,2010,Male,Non-urgent,3,65+,Older Adult,61526,68,1.13
2010-2011,2010,Male,Unknown,3,65+,Older Adult,15657,70,1.17
2009-2010,2009,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,2379,235,3.92
2009-2010,2009,Female,CTAS I - Resuscitation,1,20-44,Young Adult,2218,245,4.08
2009-2010,2009,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,3090,266,4.43
2009-2010,2009,Female,CTAS I - Resuscitation,1,65+,Older Adult,6275,333,5.55
2009-2010,2009,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,3399,221,3.68
2009-2010,2009,Male,CTAS I - Resuscitation,1,20-44,Young Adult,3802,234,3.9
2009-2010,2009,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,5587,228,3.8
2009-2010,2009,Male,CTAS I - Resuscitation,1,65+,Older Adult,7072,263,4.38
2009-2010,2009,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,61621,205,3.42
2009-2010,2009,Female,CTAS II - Emergent,2,20-44,Young Adult,100174,252,4.2
2009-2010,2009,Female,CTAS II - Emergent,2,45-64,Middle Adult,101571,305,5.08
2009-2010,2009,Female,CTAS II - Emergent,2,65+,Older Adult,117805,413,6.88
2009-2010,2009,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,79397,194,3.23
2009-2010,2009,Male,CTAS II - Emergent,2,20-44,Young Adult,95933,242,4.03
2009-2010,2009,Male,CTAS II - Emergent,2,45-64,Middle Adult,113877,314,5.23
2009-2010,2009,Male,CTAS II - Emergent,2,65+,Older Adult,105673,406,6.77
2009-2010,2009,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,264734,153,2.55
2009-2010,2009,Female,Less urgent,3,0-19,Pediatric & Youth,305931,105,1.75
2009-2010,2009,Female,Non-urgent,3,0-19,Pediatric & Youth,41334,75,1.25
2009-2010,2009,Female,Unknown,3,0-19,Pediatric & Youth,5604,66,1.1
2009-2010,2009,Female,CTAS III - Urgent,3,20-44,Young Adult,429338,196,3.27
2009-2010,2009,Female,Less urgent,3,20-44,Young Adult,403003,115,1.92
2009-2010,2009,Female,Non-urgent,3,20-44,Young Adult,75563,80,1.33
2009-2010,2009,Female,Unknown,3,20-44,Young Adult,8168,71,1.18
2009-2010,2009,Female,CTAS III - Urgent,3,45-64,Middle Adult,276403,214,3.57
2009-2010,2009,Female,Less urgent,3,45-64,Middle Adult,255276,115,1.92
2009-2010,2009,Female,Non-urgent,3,45-64,Middle Adult,54070,76,1.27
2009-2010,2009,Female,Unknown,3,45-64,Middle Adult,5605,64,1.07
2009-2010,2009,Female,CTAS III - Urgent,3,65+,Older Adult,280499,302,5.03
2009-2010,2009,Female,Less urgent,3,65+,Older Adult,166584,143,2.38
2009-2010,2009,Female,Non-urgent,3,65+,Older Adult,33250,83,1.38
2009-2010,2009,Female,Unknown,3,65+,Older Adult,3713,88,1.47
2009-2010,2009,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,287299,143,2.38
2009-2010,2009,Male,Less urgent,3,0-19,Pediatric & Youth,330768,103,1.72
2009-2010,2009,Male,Non-urgent,3,0-19,Pediatric & Youth,41649,75,1.25
2009-2010,2009,Male,Unknown,3,0-19,Pediatric & Youth,5474,64,1.07
2009-2010,2009,Male,CTAS III - Urgent,3,20-44,Young Adult,299690,176,2.93
2009-2010,2009,Male,Less urgent,3,20-44,Young Adult,364053,112,1.87
2009-2010,2009,Male,Non-urgent,3,20-44,Young Adult,71800,80,1.33
2009-2010,2009,Male,Unknown,3,20-44,Young Adult,6464,70,1.17
2009-2010,2009,Male,CTAS III - Urgent,3,45-64,Middle Adult,246555,208,3.47
2009-2010,2009,Male,Less urgent,3,45-64,Middle Adult,238597,114,1.9
2009-2010,2009,Male,Non-urgent,3,45-64,Middle Adult,59173,74,1.23
2009-2010,2009,Male,Unknown,3,45-64,Middle Adult,5844,64,1.07
2009-2010,2009,Male,CTAS III - Urgent,3,65+,Older Adult,215834,290,4.83
2009-2010,2009,Male,Less urgent,3,65+,Older Adult,132653,131,2.18
2009-2010,2009,Male,Non-urgent,3,65+,Older Adult,34443,74,1.23
2009-2010,2009,Male,Unknown,3,65+,Older Adult,4097,72,1.2
2008-2009,2008,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,2174,229,3.82
2008-2009,2008,Female,CTAS I - Resuscitation,1,20-44,Young Adult,2250,237,3.95
2008-2009,2008,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,2839,260,4.33
2008-2009,2008,Female,CTAS I - Resuscitation,1,65+,Older Adult,5993,313,5.22
2008-2009,2008,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,3198,217,3.62
2008-2009,2008,Male,CTAS I - Resuscitation,1,20-44,Young Adult,3678,236,3.93
2008-2009,2008,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,5256,210,3.5
2008-2009,2008,Male,CTAS I - Resuscitation,1,65+,Older Adult,6943,256,4.27
2008-2009,2008,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,55671,203,3.38
2008-2009,2008,Female,CTAS II - Emergent,2,20-44,Young Adult,89785,254,4.23
2008-2009,2008,Female,CTAS II - Emergent,2,45-64,Middle Adult,88813,305,5.08
2008-2009,2008,Female,CTAS II - Emergent,2,65+,Older Adult,109578,415,6.92
2008-2009,2008,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,72163,190,3.17
2008-2009,2008,Male,CTAS II - Emergent,2,20-44,Young Adult,86735,246,4.1
2008-2009,2008,Male,CTAS II - Emergent,2,45-64,Middle Adult,103868,314,5.23
2008-2009,2008,Male,CTAS II - Emergent,2,65+,Older Adult,98836,408,6.8
2008-2009,2008,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,241382,156,2.6
2008-2009,2008,Female,Less urgent,3,0-19,Pediatric & Youth,296943,103,1.72
2008-2009,2008,Female,Non-urgent,3,0-19,Pediatric & Youth,52097,71,1.18
2008-2009,2008,Female,Unknown,3,0-19,Pediatric & Youth,1167,37,0.62
