fiscal_year,fiscal_year_start,sex,visit_disposition,admission_flag,admission_status,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi
2011-2012,2011,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,9020,209,3.48,1885180
2011-2012,2011,Female,Transferred,0,Not Admitted,20-44,Young Adult,15371,233,3.88,3581443
2011-2012,2011,Female,Transferred,0,Not Admitted,45-64,Middle Adult,12995,265,4.42,3443675
2011-2012,2011,Female,Transferred,0,Not Admitted,65+,Older Adult,16261,287,4.78,4666907
2011-2012,2011,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,11162,188,3.13,2098456
2011-2012,2011,Male,Transferred,0,Not Admitted,20-44,Young Adult,15003,228,3.8,3420684
2011-2012,2011,Male,Transferred,0,Not Admitted,45-64,Middle Adult,17792,230,3.83,4092160
2011-2012,2011,Male,Transferred,0,Not Admitted,65+,Older Adult,16308,265,4.42,4321620
2010-2011,2010,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,35490,371,6.18,13166790
2010-2011,2010,Female,Admitted,1,Admitted,20-44,Young Adult,71965,474,7.9,34111410
2010-2011,2010,Female,Admitted,1,Admitted,45-64,Middle Adult,82654,596,9.93,49261784
2010-2011,2010,Female,Admitted,1,Admitted,65+,Older Adult,187244,699,11.65,130883556
2010-2011,2010,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,41914,353,5.88,14795642
2010-2011,2010,Male,Admitted,1,Admitted,20-44,Young Adult,60321,502,8.37,30281142
2010-2011,2010,Male,Admitted,1,Admitted,45-64,Middle Adult,98741,575,9.58,56776075
2010-2011,2010,Male,Admitted,1,Admitted,65+,Older Adult,161659,666,11.1,107664894
2010-2011,2010,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,133,38,0.63,5054
2010-2011,2010,Female,Death,0,Not Admitted,20-44,Young Adult,226,43,0.72,9718
2010-2011,2010,Female,Death,0,Not Admitted,45-64,Middle Adult,597,49,0.82,29253
2010-2011,2010,Female,Death,0,Not Admitted,65+,Older Adult,2063,105,1.75,216615
2010-2011,2010,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,207,30,0.5,6210
2010-2011,2010,Male,Death,0,Not Admitted,20-44,Young Adult,528,26,0.43,13728
2010-2011,2010,Male,Death,0,Not Admitted,45-64,Middle Adult,1570,30,0.5,47100
2010-2011,2010,Male,Death,0,Not Admitted,65+,Older Adult,2687,72,1.2,193464
2010-2011,2010,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,862885,114,1.9,98368890
2010-2011,2010,Female,Discharged,0,Not Admitted,20-44,Young Adult,1304409,139,2.32,181312851
2010-2011,2010,Female,Discharged,0,Not Admitted,45-64,Middle Adult,848847,142,2.37,120536274
2010-2011,2010,Female,Discharged,0,Not Admitted,65+,Older Adult,606404,184,3.07,111578336
2010-2011,2010,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,938799,110,1.83,103267890
2010-2011,2010,Male,Discharged,0,Not Admitted,20-44,Young Adult,1087268,125,2.08,135908500
2010-2011,2010,Male,Discharged,0,Not Admitted,45-64,Middle Adult,806286,136,2.27,109654896
2010-2011,2010,Male,Discharged,0,Not Admitted,65+,Older Adult,494462,165,2.75,81586230
2010-2011,2010,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1629,156,2.6,254124
2010-2011,2010,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,5655,237,3.95,1340235
2010-2011,2010,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1991,198,3.3,394218
2010-2011,2010,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1625,216,3.6,351000
2010-2011,2010,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1823,155,2.58,282565
2010-2011,2010,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,2573,195,3.25,501735
2010-2011,2010,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,2494,200,3.33,498800
2010-2011,2010,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1698,223,3.72,378654
2010-2011,2010,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,46256,115,1.92,5319440
2010-2011,2010,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,80805,131,2.18,10585455
2010-2011,2010,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,36439,135,2.25,4919265
2010-2011,2010,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,16963,142,2.37,2408746
2010-2011,2010,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,46671,112,1.87,5227152
2010-2011,2010,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,71833,127,2.12,9122791
2010-2011,2010,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,40731,135,2.25,5498685
2010-2011,2010,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,15385,138,2.3,2123130
2010-2011,2010,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,8191,199,3.32,1630009
2010-2011,2010,Female,Transferred,0,Not Admitted,20-44,Young Adult,13689,228,3.8,3121092
2010-2011,2010,Female,Transferred,0,Not Admitted,45-64,Middle Adult,10876,260,4.33,2827760
2010-2011,2010,Female,Transferred,0,Not Admitted,65+,Older Adult,13652,287,4.78,3918124
2010-2011,2010,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,10390,187,3.12,1942930
2010-2011,2010,Male,Transferred,0,Not Admitted,20-44,Young Adult,13504,224,3.73,3024896
2010-2011,2010,Male,Transferred,0,Not Admitted,45-64,Middle Adult,15639,223,3.72,3487497
2010-2011,2010,Male,Transferred,0,Not Admitted,65+,Older Adult,13780,257,4.28,3541460
2009-2010,2009,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,25833,385,6.42,9945705
2009-2010,2009,Female,Admitted,1,Admitted,20-44,Young Adult,48603,518,8.63,25176354
2009-2010,2009,Female,Admitted,1,Admitted,45-64,Middle Adult,60285,604,10.07,36412140
2009-2010,2009,Female,Admitted,1,Admitted,65+,Older Adult,142389,690,11.5,98248410
2009-2010,2009,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,30913,375,6.25,11592375
2009-2010,2009,Male,Admitted,1,Admitted,20-44,Young Adult,41069,521,8.68,21396949
2009-2010,2009,Male,Admitted,1,Admitted,45-64,Middle Adult,70839,583,9.72,41299137
2009-2010,2009,Male,Admitted,1,Admitted,65+,Older Adult,122021,658,10.97,80289818
2009-2010,2009,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,93,32,0.53,2976
2009-2010,2009,Female,Death,0,Not Admitted,20-44,Young Adult,143,33,0.55,4719
2009-2010,2009,Female,Death,0,Not Admitted,45-64,Middle Adult,403,30,0.5,12090
2009-2010,2009,Female,Death,0,Not Admitted,65+,Older Adult,1617,92,1.53,148764
2009-2010,2009,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,155,26,0.43,4030
2009-2010,2009,Male,Death,0,Not Admitted,20-44,Young Adult,355,23,0.38,8165
2009-2010,2009,Male,Death,0,Not Admitted,45-64,Middle Adult,1151,27,0.45,31077
2009-2010,2009,Male,Death,0,Not Admitted,65+,Older Adult,2123,45,0.75,95535
2009-2010,2009,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,610570,120,2.0,73268400
2009-2010,2009,Female,Discharged,0,Not Admitted,20-44,Young Adult,896368,147,2.45,131766096
2009-2010,2009,Female,Discharged,0,Not Admitted,45-64,Middle Adult,598153,151,2.52,90321103
2009-2010,2009,Female,Discharged,0,Not Admitted,65+,Older Adult,440779,195,3.25,85951905
2009-2010,2009,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,668590,118,1.97,78893620
2009-2010,2009,Male,Discharged,0,Not Admitted,20-44,Young Adult,737150,133,2.22,98040950
2009-2010,2009,Male,Discharged,0,Not Admitted,45-64,Middle Adult,555557,145,2.42,80555765
2009-2010,2009,Male,Discharged,0,Not Admitted,65+,Older Adult,353215,177,2.95,62519055
2009-2010,2009,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1371,149,2.48,204279
2009-2010,2009,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,4931,218,3.63,1074958
2009-2010,2009,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1717,201,3.35,345117
2009-2010,2009,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1287,225,3.75,289575
2009-2010,2009,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1616,132,2.2,213312
2009-2010,2009,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,2106,173,2.88,364338
2009-2010,2009,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,2005,182,3.03,364910
2009-2010,2009,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1405,212,3.53,297860
2009-2010,2009,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,38079,125,2.08,4759875
2009-2010,2009,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,60227,139,2.32,8371553
2009-2010,2009,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,28239,142,2.37,4009938
2009-2010,2009,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,13451,153,2.55,2058003
2009-2010,2009,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,39571,121,2.02,4788091
2009-2010,2009,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,52409,134,2.23,7022806
2009-2010,2009,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,30001,140,2.33,4200140
2009-2010,2009,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,12288,143,2.38,1757184
2009-2010,2009,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,5657,213,3.55,1204941
2009-2010,2009,Female,Transferred,0,Not Admitted,20-44,Young Adult,8192,246,4.1,2015232
2009-2010,2009,Female,Transferred,0,Not Admitted,45-64,Middle Adult,7218,266,4.43,1919988
2009-2010,2009,Female,Transferred,0,Not Admitted,65+,Older Adult,8603,279,4.65,2400237
2009-2010,2009,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,7141,201,3.35,1435341
2009-2010,2009,Male,Transferred,0,Not Admitted,20-44,Young Adult,8653,235,3.92,2033455
2009-2010,2009,Male,Transferred,0,Not Admitted,45-64,Middle Adult,10080,235,3.92,2368800
2009-2010,2009,Male,Transferred,0,Not Admitted,65+,Older Adult,8720,263,4.38,2293360
2008-2009,2008,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,24107,373,6.22,8991911
2008-2009,2008,Female,Admitted,1,Admitted,20-44,Young Adult,47946,503,8.38,24116838
2008-2009,2008,Female,Admitted,1,Admitted,45-64,Middle Adult,57187,600,10.0,34312200
2008-2009,2008,Female,Admitted,1,Admitted,65+,Older Adult,138808,685,11.42,95083480
2008-2009,2008,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,29179,354,5.9,10329366
2008-2009,2008,Male,Admitted,1,Admitted,20-44,Young Adult,40555,523,8.72,21210265
2008-2009,2008,Male,Admitted,1,Admitted,45-64,Middle Adult,68241,572,9.53,39033852
2008-2009,2008,Male,Admitted,1,Admitted,65+,Older Adult,120232,647,10.78,77790104
2008-2009,2008,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,80,32,0.53,2560
2008-2009,2008,Female,Death,0,Not Admitted,20-44,Young Adult,160,44,0.73,7040
2008-2009,2008,Female,Death,0,Not Admitted,45-64,Middle Adult,421,34,0.57,14314
2008-2009,2008,Female,Death,0,Not Admitted,65+,Older Adult,1535,87,1.45,133545
2008-2009,2008,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,135,27,0.45,3645
2008-2009,2008,Male,Death,0,Not Admitted,20-44,Young Adult,358,21,0.35,7518
2008-2009,2008,Male,Death,0,Not Admitted,45-64,Middle Adult,1201,22,0.37,26422
2008-2009,2008,Male,Death,0,Not Admitted,65+,Older Adult,2168,40,0.67,86720
2008-2009,2008,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,575901,120,2.0,69108120
2008-2009,2008,Female,Discharged,0,Not Admitted,20-44,Young Adult,852756,146,2.43,124502376
2008-2009,2008,Female,Discharged,0,Not Admitted,45-64,Middle Adult,561928,150,2.5,84289200
2008-2009,2008,Female,Discharged,0,Not Admitted,65+,Older Adult,417365,195,3.25,81386175
2008-2009,2008,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,634136,117,1.95,74193912
2008-2009,2008,Male,Discharged,0,Not Admitted,20-44,Young Adult,725730,132,2.2,95796360
2008-2009,2008,Male,Discharged,0,Not Admitted,45-64,Middle Adult,531224,144,2.4,76496256
2008-2009,2008,Male,Discharged,0,Not Admitted,65+,Older Adult,337002,178,2.97,59986356
2008-2009,2008,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1421,147,2.45,208887
2008-2009,2008,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,4953,227,3.78,1124331
2008-2009,2008,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1668,220,3.67,366960
2008-2009,2008,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1233,223,3.72,274959
2008-2009,2008,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1607,136,2.27,218552
2008-2009,2008,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,1823,184,3.07,335432
2008-2009,2008,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1859,188,3.13,349492
2008-2009,2008,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1386,216,3.6,299376
2008-2009,2008,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,36147,122,2.03,4409934
2008-2009,2008,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,58581,138,2.3,8084178
2008-2009,2008,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,27029,140,2.33,3784060
2008-2009,2008,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,12939,150,2.5,1940850
2008-2009,2008,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,37098,119,1.98,4414662
2008-2009,2008,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,51406,135,2.25,6939810
2008-2009,2008,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,29236,140,2.33,4093040
2008-2009,2008,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,11935,143,2.38,1706705
2008-2009,2008,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,5096,212,3.53,1080352
2008-2009,2008,Female,Transferred,0,Not Admitted,20-44,Young Adult,7804,239,3.98,1865156
2008-2009,2008,Female,Transferred,0,Not Admitted,45-64,Middle Adult,6444,265,4.42,1707660
2008-2009,2008,Female,Transferred,0,Not Admitted,65+,Older Adult,7418,281,4.68,2084458
2008-2009,2008,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,6615,198,3.3,1309770
2008-2009,2008,Male,Transferred,0,Not Admitted,20-44,Young Adult,8686,235,3.92,2041210
2008-2009,2008,Male,Transferred,0,Not Admitted,45-64,Middle Adult,9190,239,3.98,2196410
2008-2009,2008,Male,Transferred,0,Not Admitted,65+,Older Adult,7742,264,4.4,2043888
2008-2009,2008,Female,Unknown,0,Not Admitted,0-19,Pediatric & Youth,6682,67,1.12,447694
2008-2009,2008,Female,Unknown,0,Not Admitted,20-44,Young Adult,8176,74,1.23,605024
2008-2009,2008,Female,Unknown,0,Not Admitted,45-64,Middle Adult,6802,79,1.32,537358
2008-2009,2008,Female,Unknown,0,Not Admitted,65+,Older Adult,5535,104,1.73,575640
2008-2009,2008,Male,Unknown,0,Not Admitted,0-19,Pediatric & Youth,6855,63,1.05,431865
2008-2009,2008,Male,Unknown,0,Not Admitted,20-44,Young Adult,6334,70,1.17,443380
2008-2009,2008,Male,Unknown,0,Not Admitted,45-64,Middle Adult,6244,78,1.3,487032
2008-2009,2008,Male,Unknown,0,Not Admitted,65+,Older Adult,4895,96,1.6,469920
2007-2008,2007,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,24473,344,5.73,8418712
2007-2008,2007,Female,Admitted,1,Admitted,20-44,Young Adult,49835,460,7.67,22924100
2007-2008,2007,Female,Admitted,1,Admitted,45-64,Middle Adult,57126,511,8.52,29191386
2007-2008,2007,Female,Admitted,1,Admitted,65+,Older Adult,138418,561,9.35,77652498
2007-2008,2007,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,29819,327,5.45,9750813
2007-2008,2007,Male,Admitted,1,Admitted,20-44,Young Adult,42962,455,7.58,19547710
2007-2008,2007,Male,Admitted,1,Admitted,45-64,Middle Adult,68264,493,8.22,33654152
2007-2008,2007,Male,Admitted,1,Admitted,65+,Older Adult,118552,540,9.0,64018080
2007-2008,2007,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,101,29,0.48,2929
2007-2008,2007,Female,Death,0,Not Admitted,20-44,Young Adult,182,23,0.38,4186
2007-2008,2007,Female,Death,0,Not Admitted,45-64,Middle Adult,416,48,0.8,19968
2007-2008,2007,Female,Death,0,Not Admitted,65+,Older Adult,1623,79,1.32,128217
2007-2008,2007,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,141,24,0.4,3384
2007-2008,2007,Male,Death,0,Not Admitted,20-44,Young Adult,416,22,0.37,9152
2007-2008,2007,Male,Death,0,Not Admitted,45-64,Middle Adult,1195,20,0.33,23900
2007-2008,2007,Male,Death,0,Not Admitted,65+,Older Adult,2193,40,0.67,87720
2007-2008,2007,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,575633,113,1.88,65046529
2007-2008,2007,Female,Discharged,0,Not Admitted,20-44,Young Adult,862802,140,2.33,120792280
2007-2008,2007,Female,Discharged,0,Not Admitted,45-64,Middle Adult,554034,144,2.4,79780896
2007-2008,2007,Female,Discharged,0,Not Admitted,65+,Older Adult,411930,188,3.13,77442840
2007-2008,2007,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,645427,110,1.83,70996970
2007-2008,2007,Male,Discharged,0,Not Admitted,20-44,Young Adult,753102,127,2.12,95643954
2007-2008,2007,Male,Discharged,0,Not Admitted,45-64,Middle Adult,530040,139,2.32,73675560
2007-2008,2007,Male,Discharged,0,Not Admitted,65+,Older Adult,333929,170,2.83,56767930
2007-2008,2007,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1340,155,2.58,207700
2007-2008,2007,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,5402,220,3.67,1188440
2007-2008,2007,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1677,199,3.32,333723
2007-2008,2007,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1358,216,3.6,293328
2007-2008,2007,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1521,137,2.28,208377
2007-2008,2007,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,2148,191,3.18,410268
2007-2008,2007,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1948,196,3.27,381808
2007-2008,2007,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1415,207,3.45,292905
2007-2008,2007,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,33342,117,1.95,3901014
2007-2008,2007,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,57387,135,2.25,7747245
2007-2008,2007,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,25540,139,2.32,3550060
2007-2008,2007,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,12127,150,2.5,1819050
2007-2008,2007,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,34267,113,1.88,3872171
2007-2008,2007,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,51414,132,2.2,6786648
2007-2008,2007,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,27640,137,2.28,3786680
2007-2008,2007,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,11251,140,2.33,1575140
2007-2008,2007,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,4884,205,3.42,1001220
2007-2008,2007,Female,Transferred,0,Not Admitted,20-44,Young Adult,7840,236,3.93,1850240
2007-2008,2007,Female,Transferred,0,Not Admitted,45-64,Middle Adult,6272,258,4.3,1618176
2007-2008,2007,Female,Transferred,0,Not Admitted,65+,Older Adult,7377,274,4.57,2021298
2007-2008,2007,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,6629,193,3.22,1279397
2007-2008,2007,Male,Transferred,0,Not Admitted,20-44,Young Adult,8599,229,3.82,1969171
2007-2008,2007,Male,Transferred,0,Not Admitted,45-64,Middle Adult,8776,229,3.82,2009704
2007-2008,2007,Male,Transferred,0,Not Admitted,65+,Older Adult,7561,260,4.33,1965860
2006-2007,2006,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,25054,250,4.17,6263500
2006-2007,2006,Female,Admitted,1,Admitted,20-44,Young Adult,50133,302,5.03,15140166
2006-2007,2006,Female,Admitted,1,Admitted,45-64,Middle Adult,54996,312,5.2,17158752
2006-2007,2006,Female,Admitted,1,Admitted,65+,Older Adult,138548,323,5.38,44751004
2006-2007,2006,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,30720,235,3.92,7219200
2006-2007,2006,Male,Admitted,1,Admitted,20-44,Young Adult,42698,287,4.78,12254326
2006-2007,2006,Male,Admitted,1,Admitted,45-64,Middle Adult,66272,297,4.95,19682784
2006-2007,2006,Male,Admitted,1,Admitted,65+,Older Adult,118539,312,5.2,36984168
2006-2007,2006,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,100,25,0.42,2500
2006-2007,2006,Female,Death,0,Not Admitted,20-44,Young Adult,179,26,0.43,4654
2006-2007,2006,Female,Death,0,Not Admitted,45-64,Middle Adult,488,50,0.83,24400
2006-2007,2006,Female,Death,0,Not Admitted,65+,Older Adult,1670,92,1.53,153640
2006-2007,2006,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,184,36,0.6,6624
2006-2007,2006,Male,Death,0,Not Admitted,20-44,Young Adult,464,21,0.35,9744
2006-2007,2006,Male,Death,0,Not Admitted,45-64,Middle Adult,1285,29,0.48,37265
2006-2007,2006,Male,Death,0,Not Admitted,65+,Older Adult,2266,53,0.88,120098
2006-2007,2006,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,572389,108,1.8,61818012
2006-2007,2006,Female,Discharged,0,Not Admitted,20-44,Young Adult,848023,136,2.27,115331128
2006-2007,2006,Female,Discharged,0,Not Admitted,45-64,Middle Adult,527180,139,2.32,73278020
2006-2007,2006,Female,Discharged,0,Not Admitted,65+,Older Adult,398258,183,3.05,72881214
2006-2007,2006,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,647797,106,1.77,68666482
2006-2007,2006,Male,Discharged,0,Not Admitted,20-44,Young Adult,757323,124,2.07,93908052
2006-2007,2006,Male,Discharged,0,Not Admitted,45-64,Middle Adult,504756,135,2.25,68142060
2006-2007,2006,Male,Discharged,0,Not Admitted,65+,Older Adult,319394,166,2.77,53019404
2006-2007,2006,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1405,140,2.33,196700
2006-2007,2006,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,5730,227,3.78,1300710
2006-2007,2006,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,1660,192,3.2,318720
2006-2007,2006,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1349,200,3.33,269800
2006-2007,2006,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,1526,134,2.23,204484
2006-2007,2006,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,2275,172,2.87,391300
2006-2007,2006,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,2005,181,3.02,362905
2006-2007,2006,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,1402,200,3.33,280400
2006-2007,2006,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,32770,115,1.92,3768550
2006-2007,2006,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,56705,134,2.23,7598470
2006-2007,2006,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,24062,136,2.27,3272432
2006-2007,2006,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,11763,148,2.47,1740924
2006-2007,2006,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,34372,111,1.85,3815292
2006-2007,2006,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,52019,131,2.18,6814489
2006-2007,2006,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,26299,136,2.27,3576664
2006-2007,2006,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,10266,140,2.33,1437240
2006-2007,2006,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,4944,190,3.17,939360
2006-2007,2006,Female,Transferred,0,Not Admitted,20-44,Young Adult,7769,212,3.53,1647028
2006-2007,2006,Female,Transferred,0,Not Admitted,45-64,Middle Adult,5875,238,3.97,1398250
2006-2007,2006,Female,Transferred,0,Not Admitted,65+,Older Adult,7052,264,4.4,1861728
2006-2007,2006,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,6329,180,3.0,1139220
2006-2007,2006,Male,Transferred,0,Not Admitted,20-44,Young Adult,8367,205,3.42,1715235
2006-2007,2006,Male,Transferred,0,Not Admitted,45-64,Middle Adult,8072,215,3.58,1735480
2006-2007,2006,Male,Transferred,0,Not Admitted,65+,Older Adult,7135,250,4.17,1783750
2005-2006,2005,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,27379,250,4.17,6844750
2005-2006,2005,Female,Admitted,1,Admitted,20-44,Young Adult,55625,287,4.78,15964375
2005-2006,2005,Female,Admitted,1,Admitted,45-64,Middle Adult,57264,307,5.12,17580048
2005-2006,2005,Female,Admitted,1,Admitted,65+,Older Adult,138587,320,5.33,44347840
2005-2006,2005,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,33723,237,3.95,7992351
2005-2006,2005,Male,Admitted,1,Admitted,20-44,Young Adult,47501,284,4.73,13490284
2005-2006,2005,Male,Admitted,1,Admitted,45-64,Middle Adult,68208,292,4.87,19916736
2005-2006,2005,Male,Admitted,1,Admitted,65+,Older Adult,117306,308,5.13,36130248
2005-2006,2005,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,91,40,0.67,3640
2005-2006,2005,Female,Death,0,Not Admitted,20-44,Young Adult,229,38,0.63,8702
2005-2006,2005,Female,Death,0,Not Admitted,45-64,Middle Adult,451,28,0.47,12628
2005-2006,2005,Female,Death,0,Not Admitted,65+,Older Adult,1691,84,1.4,142044
2005-2006,2005,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,185,29,0.48,5365
2005-2006,2005,Male,Death,0,Not Admitted,20-44,Young Adult,498,32,0.53,15936
2005-2006,2005,Male,Death,0,Not Admitted,45-64,Middle Adult,1329,29,0.48,38541
2005-2006,2005,Male,Death,0,Not Admitted,65+,Older Adult,2372,47,0.78,111484
2005-2006,2005,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,587687,105,1.75,61707135
2005-2006,2005,Female,Discharged,0,Not Admitted,20-44,Young Adult,847352,131,2.18,111003112
2005-2006,2005,Female,Discharged,0,Not Admitted,45-64,Middle Adult,506404,135,2.25,68364540
