fiscal_year,fiscal_year_start,sex,main_problem,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi
2007-2008,2007,Female,Acute Myocardial Infarction,45-64,Middle Adult,1320,292,4.87,385440
2007-2008,2007,Female,Acute Myocardial Infarction,65+,Older Adult,3772,392,6.53,1478624
2007-2008,2007,Female,Asthma,0-19,Pediatric & Youth,11846,148,2.47,1753208
2007-2008,2007,Female,Asthma,20-44,Young Adult,11628,142,2.37,1651176
2007-2008,2007,Female,Asthma,45-64,Middle Adult,6459,163,2.72,1052817
2007-2008,2007,Female,Asthma,65+,Older Adult,2630,241,4.02,633830
2007-2008,2007,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,12,147,2.45,1764
2007-2008,2007,Female,Influenzal Pneumonia,20-44,Young Adult,21,154,2.57,3234
2007-2008,2007,Female,Influenzal Pneumonia,45-64,Middle Adult,17,204,3.4,3468
2007-2008,2007,Female,Influenzal Pneumonia,65+,Older Adult,10,387,6.45,3870
2007-2008,2007,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,12734,127,2.12,1617218
2007-2008,2007,Female,Motor Vehicle Collisions,20-44,Young Adult,22692,146,2.43,3313032
2007-2008,2007,Female,Motor Vehicle Collisions,45-64,Middle Adult,11785,160,2.67,1885600
2007-2008,2007,Female,Motor Vehicle Collisions,65+,Older Adult,4444,189,3.15,839916
2007-2008,2007,Female,Pneumonia,0-19,Pediatric & Youth,7836,166,2.77,1300776
2007-2008,2007,Female,Pneumonia,20-44,Young Adult,4909,183,3.05,898347
2007-2008,2007,Female,Pneumonia,45-64,Middle Adult,5849,217,3.62,1269233
2007-2008,2007,Female,Pneumonia,65+,Older Adult,12014,376,6.27,4517264
2007-2008,2007,Female,Trauma,0-19,Pediatric & Youth,162825,113,1.88,18399225
2007-2008,2007,Female,Trauma,20-44,Young Adult,171329,125,2.08,21416125
2007-2008,2007,Female,Trauma,45-64,Middle Adult,120353,135,2.25,16247655
2007-2008,2007,Female,Trauma,65+,Older Adult,96089,199,3.32,19121711
2007-2008,2007,Female,Unintentional Falls,0-19,Pediatric & Youth,55549,120,2.0,6665880
2007-2008,2007,Female,Unintentional Falls,20-44,Young Adult,42795,138,2.3,5905710
2007-2008,2007,Female,Unintentional Falls,45-64,Middle Adult,47472,155,2.58,7358160
2007-2008,2007,Female,Unintentional Falls,65+,Older Adult,65276,230,3.83,15013480
2007-2008,2007,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,384,6.4,0
2007-2008,2007,Male,Acute Myocardial Infarction,20-44,Young Adult,694,235,3.92,163090
2007-2008,2007,Male,Acute Myocardial Infarction,45-64,Middle Adult,4226,231,3.85,976206
2007-2008,2007,Male,Acute Myocardial Infarction,65+,Older Adult,4528,339,5.65,1534992
2007-2008,2007,Male,Asthma,0-19,Pediatric & Youth,19167,153,2.55,2932551
2007-2008,2007,Male,Asthma,20-44,Young Adult,7898,127,2.12,1003046
2007-2008,2007,Male,Asthma,45-64,Middle Adult,3358,150,2.5,503700
2007-2008,2007,Male,Asthma,65+,Older Adult,1310,202,3.37,264620
2007-2008,2007,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,14,246,4.1,3444
2007-2008,2007,Male,Influenzal Pneumonia,20-44,Young Adult,15,129,2.15,1935
2007-2008,2007,Male,Influenzal Pneumonia,45-64,Middle Adult,11,257,4.28,2827
2007-2008,2007,Male,Influenzal Pneumonia,65+,Older Adult,0,1264,21.07,0
2007-2008,2007,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,21029,126,2.1,2649654
2007-2008,2007,Male,Motor Vehicle Collisions,20-44,Young Adult,29022,149,2.48,4324278
2007-2008,2007,Male,Motor Vehicle Collisions,45-64,Middle Adult,13339,163,2.72,2174257
2007-2008,2007,Male,Motor Vehicle Collisions,65+,Older Adult,4076,188,3.13,766288
2007-2008,2007,Male,Pneumonia,0-19,Pediatric & Youth,10075,168,2.8,1692600
2007-2008,2007,Male,Pneumonia,20-44,Young Adult,5420,183,3.05,991860
2007-2008,2007,Male,Pneumonia,45-64,Middle Adult,6486,228,3.8,1478808
2007-2008,2007,Male,Pneumonia,65+,Older Adult,11809,365,6.08,4310285
2007-2008,2007,Male,Trauma,0-19,Pediatric & Youth,252776,114,1.9,28816464
2007-2008,2007,Male,Trauma,20-44,Young Adult,294547,123,2.05,36229281
2007-2008,2007,Male,Trauma,45-64,Middle Adult,144393,130,2.17,18771090
2007-2008,2007,Male,Trauma,65+,Older Adult,62484,167,2.78,10434828
2007-2008,2007,Male,Unintentional Falls,0-19,Pediatric & Youth,72789,120,2.0,8734680
2007-2008,2007,Male,Unintentional Falls,20-44,Young Adult,47656,139,2.32,6624184
2007-2008,2007,Male,Unintentional Falls,45-64,Middle Adult,37021,157,2.62,5812297
2007-2008,2007,Male,Unintentional Falls,65+,Older Adult,33097,208,3.47,6884176
2006-2007,2006,Female,Acute Myocardial Infarction,20-44,Young Adult,146,225,3.75,32850
2006-2007,2006,Female,Acute Myocardial Infarction,45-64,Middle Adult,1150,190,3.17,218500
2006-2007,2006,Female,Acute Myocardial Infarction,65+,Older Adult,3661,245,4.08,896945
2006-2007,2006,Female,Asthma,0-19,Pediatric & Youth,13604,140,2.33,1904560
2006-2007,2006,Female,Asthma,20-44,Young Adult,13091,137,2.28,1793467
2006-2007,2006,Female,Asthma,45-64,Middle Adult,6719,161,2.68,1081759
2006-2007,2006,Female,Asthma,65+,Older Adult,2734,220,3.67,601480
2006-2007,2006,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,18,109,1.82,1962
2006-2007,2006,Female,Influenzal Pneumonia,20-44,Young Adult,15,197,3.28,2955
2006-2007,2006,Female,Influenzal Pneumonia,45-64,Middle Adult,9,103,1.72,927
2006-2007,2006,Female,Influenzal Pneumonia,65+,Older Adult,18,562,9.37,10116
2006-2007,2006,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13076,124,2.07,1621424
2006-2007,2006,Female,Motor Vehicle Collisions,20-44,Young Adult,23137,144,2.4,3331728
2006-2007,2006,Female,Motor Vehicle Collisions,45-64,Middle Adult,11563,155,2.58,1792265
2006-2007,2006,Female,Motor Vehicle Collisions,65+,Older Adult,4490,179,2.98,803710
2006-2007,2006,Female,Pneumonia,0-19,Pediatric & Youth,8484,160,2.67,1357440
2006-2007,2006,Female,Pneumonia,20-44,Young Adult,5129,172,2.87,882188
2006-2007,2006,Female,Pneumonia,45-64,Middle Adult,5935,201,3.35,1192935
2006-2007,2006,Female,Pneumonia,65+,Older Adult,12436,282,4.7,3506952
2006-2007,2006,Female,Trauma,0-19,Pediatric & Youth,163175,109,1.82,17786075
2006-2007,2006,Female,Trauma,20-44,Young Adult,167789,121,2.02,20302469
2006-2007,2006,Female,Trauma,45-64,Middle Adult,111604,130,2.17,14508520
2006-2007,2006,Female,Trauma,65+,Older Adult,91895,185,3.08,17000575
2006-2007,2006,Female,Unintentional Falls,0-19,Pediatric & Youth,54886,115,1.92,6311890
2006-2007,2006,Female,Unintentional Falls,20-44,Young Adult,38228,134,2.23,5122552
2006-2007,2006,Female,Unintentional Falls,45-64,Middle Adult,41110,150,2.5,6166500
2006-2007,2006,Female,Unintentional Falls,65+,Older Adult,61989,210,3.5,13017690
2006-2007,2006,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,145,2.42,0
2006-2007,2006,Male,Acute Myocardial Infarction,20-44,Young Adult,690,160,2.67,110400
2006-2007,2006,Male,Acute Myocardial Infarction,45-64,Middle Adult,3996,162,2.7,647352
2006-2007,2006,Male,Acute Myocardial Infarction,65+,Older Adult,4504,222,3.7,999888
2006-2007,2006,Male,Asthma,0-19,Pediatric & Youth,22159,145,2.42,3213055
2006-2007,2006,Male,Asthma,20-44,Young Adult,9405,124,2.07,1166220
2006-2007,2006,Male,Asthma,45-64,Middle Adult,3798,147,2.45,558306
2006-2007,2006,Male,Asthma,65+,Older Adult,1412,191,3.18,269692
2006-2007,2006,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,33,144,2.4,4752
2006-2007,2006,Male,Influenzal Pneumonia,20-44,Young Adult,21,116,1.93,2436
2006-2007,2006,Male,Influenzal Pneumonia,45-64,Middle Adult,12,202,3.37,2424
2006-2007,2006,Male,Influenzal Pneumonia,65+,Older Adult,9,204,3.4,1836
2006-2007,2006,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,21283,123,2.05,2617809
2006-2007,2006,Male,Motor Vehicle Collisions,20-44,Young Adult,29944,143,2.38,4281992
2006-2007,2006,Male,Motor Vehicle Collisions,45-64,Middle Adult,13127,157,2.62,2060939
2006-2007,2006,Male,Motor Vehicle Collisions,65+,Older Adult,3987,175,2.92,697725
2006-2007,2006,Male,Pneumonia,0-19,Pediatric & Youth,10405,164,2.73,1706420
2006-2007,2006,Male,Pneumonia,20-44,Young Adult,5480,174,2.9,953520
2006-2007,2006,Male,Pneumonia,45-64,Middle Adult,6418,210,3.5,1347780
2006-2007,2006,Male,Pneumonia,65+,Older Adult,12210,276,4.6,3369960
2006-2007,2006,Male,Trauma,0-19,Pediatric & Youth,254565,110,1.83,28002150
2006-2007,2006,Male,Trauma,20-44,Young Adult,299455,120,2.0,35934600
2006-2007,2006,Male,Trauma,45-64,Middle Adult,137590,125,2.08,17198750
2006-2007,2006,Male,Trauma,65+,Older Adult,59159,158,2.63,9347122
2006-2007,2006,Male,Unintentional Falls,0-19,Pediatric & Youth,72291,116,1.93,8385756
2006-2007,2006,Male,Unintentional Falls,20-44,Young Adult,44676,135,2.25,6031260
2006-2007,2006,Male,Unintentional Falls,45-64,Middle Adult,32016,150,2.5,4802400
2006-2007,2006,Male,Unintentional Falls,65+,Older Adult,30555,195,3.25,5958225
2005-2006,2005,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,166,2.77,0
2005-2006,2005,Female,Acute Myocardial Infarction,20-44,Young Adult,152,190,3.17,28880
2005-2006,2005,Female,Acute Myocardial Infarction,45-64,Middle Adult,1072,203,3.38,217616
2005-2006,2005,Female,Acute Myocardial Infarction,65+,Older Adult,3777,250,4.17,944250
2005-2006,2005,Female,Asthma,0-19,Pediatric & Youth,15088,143,2.38,2157584
2005-2006,2005,Female,Asthma,20-44,Young Adult,13705,134,2.23,1836470
2005-2006,2005,Female,Asthma,45-64,Middle Adult,6683,153,2.55,1022499
2005-2006,2005,Female,Asthma,65+,Older Adult,2939,206,3.43,605434
2005-2006,2005,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,9,174,2.9,1566
2005-2006,2005,Female,Influenzal Pneumonia,20-44,Young Adult,11,80,1.33,880
2005-2006,2005,Female,Influenzal Pneumonia,45-64,Middle Adult,0,135,2.25,0
2005-2006,2005,Female,Influenzal Pneumonia,65+,Older Adult,8,171,2.85,1368
2005-2006,2005,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,14054,123,2.05,1728642
2005-2006,2005,Female,Motor Vehicle Collisions,20-44,Young Adult,23509,139,2.32,3267751
2005-2006,2005,Female,Motor Vehicle Collisions,45-64,Middle Adult,11213,150,2.5,1681950
2005-2006,2005,Female,Motor Vehicle Collisions,65+,Older Adult,4468,173,2.88,772964
2005-2006,2005,Female,Pneumonia,0-19,Pediatric & Youth,7989,160,2.67,1278240
2005-2006,2005,Female,Pneumonia,20-44,Young Adult,4242,176,2.93,746592
2005-2006,2005,Female,Pneumonia,45-64,Middle Adult,5163,202,3.37,1042926
2005-2006,2005,Female,Pneumonia,65+,Older Adult,11644,277,4.62,3225388
2005-2006,2005,Female,Trauma,0-19,Pediatric & Youth,166819,107,1.78,17849633
2005-2006,2005,Female,Trauma,20-44,Young Adult,173539,119,1.98,20651141
2005-2006,2005,Female,Trauma,45-64,Middle Adult,109457,127,2.12,13901039
2005-2006,2005,Female,Trauma,65+,Older Adult,91094,180,3.0,16396920
2005-2006,2005,Female,Unintentional Falls,0-19,Pediatric & Youth,55962,113,1.88,6323706
2005-2006,2005,Female,Unintentional Falls,20-44,Young Adult,39931,130,2.17,5191030
2005-2006,2005,Female,Unintentional Falls,45-64,Middle Adult,40259,147,2.45,5918073
2005-2006,2005,Female,Unintentional Falls,65+,Older Adult,61608,205,3.42,12629640
2005-2006,2005,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,424,7.07,0
2005-2006,2005,Male,Acute Myocardial Infarction,20-44,Young Adult,675,159,2.65,107325
2005-2006,2005,Male,Acute Myocardial Infarction,45-64,Middle Adult,3827,156,2.6,597012
2005-2006,2005,Male,Acute Myocardial Infarction,65+,Older Adult,4235,212,3.53,897820
2005-2006,2005,Male,Asthma,0-19,Pediatric & Youth,24525,145,2.42,3556125
2005-2006,2005,Male,Asthma,20-44,Young Adult,9064,120,2.0,1087680
2005-2006,2005,Male,Asthma,45-64,Middle Adult,3544,148,2.47,524512
2005-2006,2005,Male,Asthma,65+,Older Adult,1454,190,3.17,276260
2005-2006,2005,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,10,97,1.62,970
2005-2006,2005,Male,Influenzal Pneumonia,20-44,Young Adult,0,98,1.63,0
2005-2006,2005,Male,Influenzal Pneumonia,45-64,Middle Adult,6,301,5.02,1806
2005-2006,2005,Male,Influenzal Pneumonia,65+,Older Adult,0,429,7.15,0
2005-2006,2005,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,23151,122,2.03,2824422
2005-2006,2005,Male,Motor Vehicle Collisions,20-44,Young Adult,30771,140,2.33,4307940
2005-2006,2005,Male,Motor Vehicle Collisions,45-64,Middle Adult,12921,151,2.52,1951071
2005-2006,2005,Male,Motor Vehicle Collisions,65+,Older Adult,4079,168,2.8,685272
2005-2006,2005,Male,Pneumonia,0-19,Pediatric & Youth,10013,160,2.67,1602080
2005-2006,2005,Male,Pneumonia,20-44,Young Adult,4807,178,2.97,855646
2005-2006,2005,Male,Pneumonia,45-64,Middle Adult,5714,212,3.53,1211368
2005-2006,2005,Male,Pneumonia,65+,Older Adult,11872,269,4.48,3193568
2005-2006,2005,Male,Trauma,0-19,Pediatric & Youth,263076,110,1.83,28938360
2005-2006,2005,Male,Trauma,20-44,Young Adult,314962,117,1.95,36850554
2005-2006,2005,Male,Trauma,45-64,Middle Adult,138159,122,2.03,16855398
2005-2006,2005,Male,Trauma,65+,Older Adult,58415,153,2.55,8937495
2005-2006,2005,Male,Unintentional Falls,0-19,Pediatric & Youth,75141,115,1.92,8641215
2005-2006,2005,Male,Unintentional Falls,20-44,Young Adult,46944,132,2.2,6196608
2005-2006,2005,Male,Unintentional Falls,45-64,Middle Adult,32241,147,2.45,4739427
2005-2006,2005,Male,Unintentional Falls,65+,Older Adult,29951,189,3.15,5660739
2004-2005,2004,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,91,1.52,0
2004-2005,2004,Female,Acute Myocardial Infarction,20-44,Young Adult,123,148,2.47,18204
2004-2005,2004,Female,Acute Myocardial Infarction,45-64,Middle Adult,1003,178,2.97,178534
2004-2005,2004,Female,Acute Myocardial Infarction,65+,Older Adult,3841,235,3.92,902635
2004-2005,2004,Female,Asthma,0-19,Pediatric & Youth,14068,133,2.22,1871044
2004-2005,2004,Female,Asthma,20-44,Young Adult,14246,132,2.2,1880472
2004-2005,2004,Female,Asthma,45-64,Middle Adult,7350,155,2.58,1139250
2004-2005,2004,Female,Asthma,65+,Older Adult,3172,208,3.47,659776
2004-2005,2004,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,13,93,1.55,1209
2004-2005,2004,Female,Influenzal Pneumonia,20-44,Young Adult,11,146,2.43,1606
2004-2005,2004,Female,Influenzal Pneumonia,45-64,Middle Adult,16,88,1.47,1408
2004-2005,2004,Female,Influenzal Pneumonia,65+,Older Adult,16,248,4.13,3968
2004-2005,2004,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,14084,119,1.98,1675996
2004-2005,2004,Female,Motor Vehicle Collisions,20-44,Young Adult,23168,135,2.25,3127680
2004-2005,2004,Female,Motor Vehicle Collisions,45-64,Middle Adult,10988,149,2.48,1637212
2004-2005,2004,Female,Motor Vehicle Collisions,65+,Older Adult,4415,172,2.87,759380
2004-2005,2004,Female,Pneumonia,0-19,Pediatric & Youth,7968,157,2.62,1250976
2004-2005,2004,Female,Pneumonia,20-44,Young Adult,5041,168,2.8,846888
2004-2005,2004,Female,Pneumonia,45-64,Middle Adult,5556,199,3.32,1105644
2004-2005,2004,Female,Pneumonia,65+,Older Adult,12792,274,4.57,3505008
2004-2005,2004,Female,Trauma,0-19,Pediatric & Youth,164426,105,1.75,17264730
2004-2005,2004,Female,Trauma,20-44,Young Adult,171731,115,1.92,19749065
2004-2005,2004,Female,Trauma,45-64,Middle Adult,105572,124,2.07,13090928
2004-2005,2004,Female,Trauma,65+,Older Adult,88439,180,3.0,15919020
2004-2005,2004,Female,Unintentional Falls,0-19,Pediatric & Youth,56147,111,1.85,6232317
2004-2005,2004,Female,Unintentional Falls,20-44,Young Adult,40344,128,2.13,5164032
2004-2005,2004,Female,Unintentional Falls,45-64,Middle Adult,39578,145,2.42,5738810
2004-2005,2004,Female,Unintentional Falls,65+,Older Adult,59665,203,3.38,12111995
2004-2005,2004,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,8,378,6.3,3024
2004-2005,2004,Male,Acute Myocardial Infarction,20-44,Young Adult,708,168,2.8,118944
2004-2005,2004,Male,Acute Myocardial Infarction,45-64,Middle Adult,3805,151,2.52,574555
2004-2005,2004,Male,Acute Myocardial Infarction,65+,Older Adult,4437,215,3.58,953955
2004-2005,2004,Male,Asthma,0-19,Pediatric & Youth,22407,142,2.37,3181794
2004-2005,2004,Male,Asthma,20-44,Young Adult,9389,118,1.97,1107902
2004-2005,2004,Male,Asthma,45-64,Middle Adult,3720,144,2.4,535680
2004-2005,2004,Male,Asthma,65+,Older Adult,1639,184,3.07,301576
2004-2005,2004,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,10,72,1.2,720
2004-2005,2004,Male,Influenzal Pneumonia,20-44,Young Adult,11,115,1.92,1265
2004-2005,2004,Male,Influenzal Pneumonia,45-64,Middle Adult,0,94,1.57,0
2004-2005,2004,Male,Influenzal Pneumonia,65+,Older Adult,12,259,4.32,3108
2004-2005,2004,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,22941,118,1.97,2707038
2004-2005,2004,Male,Motor Vehicle Collisions,20-44,Young Adult,30211,139,2.32,4199329
2004-2005,2004,Male,Motor Vehicle Collisions,45-64,Middle Adult,11893,150,2.5,1783950
2004-2005,2004,Male,Motor Vehicle Collisions,65+,Older Adult,3830,172,2.87,658760
2004-2005,2004,Male,Pneumonia,0-19,Pediatric & Youth,10080,159,2.65,1602720
2004-2005,2004,Male,Pneumonia,20-44,Young Adult,5518,170,2.83,938060
2004-2005,2004,Male,Pneumonia,45-64,Middle Adult,6111,202,3.37,1234422
2004-2005,2004,Male,Pneumonia,65+,Older Adult,12974,266,4.43,3451084
2004-2005,2004,Male,Trauma,0-19,Pediatric & Youth,261950,105,1.75,27504750
2004-2005,2004,Male,Trauma,20-44,Young Adult,311583,113,1.88,35208879
2004-2005,2004,Male,Trauma,45-64,Middle Adult,131558,119,1.98,15655402
2004-2005,2004,Male,Trauma,65+,Older Adult,56327,152,2.53,8561704
2004-2005,2004,Male,Unintentional Falls,0-19,Pediatric & Youth,76933,112,1.87,8616496
2004-2005,2004,Male,Unintentional Falls,20-44,Young Adult,47309,130,2.17,6150170
2004-2005,2004,Male,Unintentional Falls,45-64,Middle Adult,31976,145,2.42,4636520
2004-2005,2004,Male,Unintentional Falls,65+,Older Adult,28932,190,3.17,5497080
2003-2004,2003,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,93,1.55,0
2003-2004,2003,Female,Acute Myocardial Infarction,20-44,Young Adult,152,204,3.4,31008
2003-2004,2003,Female,Acute Myocardial Infarction,45-64,Middle Adult,1161,203,3.38,235683
2003-2004,2003,Female,Acute Myocardial Infarction,65+,Older Adult,3783,252,4.2,953316
2003-2004,2003,Female,Asthma,0-19,Pediatric & Youth,13769,130,2.17,1789970
2003-2004,2003,Female,Asthma,20-44,Young Adult,14510,128,2.13,1857280
2003-2004,2003,Female,Asthma,45-64,Middle Adult,6702,150,2.5,1005300
2003-2004,2003,Female,Asthma,65+,Older Adult,2924,199,3.32,581876
2003-2004,2003,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,14,163,2.72,2282
2003-2004,2003,Female,Influenzal Pneumonia,20-44,Young Adult,27,111,1.85,2997
2003-2004,2003,Female,Influenzal Pneumonia,45-64,Middle Adult,11,141,2.35,1551
2003-2004,2003,Female,Influenzal Pneumonia,65+,Older Adult,19,490,8.17,9310
2003-2004,2003,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13812,115,1.92,1588380
2003-2004,2003,Female,Motor Vehicle Collisions,20-44,Young Adult,22644,130,2.17,2943720
2003-2004,2003,Female,Motor Vehicle Collisions,45-64,Middle Adult,10009,149,2.48,1491341
2003-2004,2003,Female,Motor Vehicle Collisions,65+,Older Adult,4050,166,2.77,672300
2003-2004,2003,Female,Pneumonia,0-19,Pediatric & Youth,8026,155,2.58,1244030
2003-2004,2003,Female,Pneumonia,20-44,Young Adult,4515,168,2.8,758520
2003-2004,2003,Female,Pneumonia,45-64,Middle Adult,4950,200,3.33,990000
2003-2004,2003,Female,Pneumonia,65+,Older Adult,11923,279,4.65,3326517
2003-2004,2003,Female,Trauma,0-19,Pediatric & Youth,156811,100,1.67,15681100
2003-2004,2003,Female,Trauma,20-44,Young Adult,163985,110,1.83,18038350
2003-2004,2003,Female,Trauma,45-64,Middle Adult,94280,120,2.0,11313600
2003-2004,2003,Female,Trauma,65+,Older Adult,81413,176,2.93,14328688
2003-2004,2003,Female,Unintentional Falls,0-19,Pediatric & Youth,52777,105,1.75,5541585
2003-2004,2003,Female,Unintentional Falls,20-44,Young Adult,37367,120,2.0,4484040
2003-2004,2003,Female,Unintentional Falls,45-64,Middle Adult,34428,140,2.33,4819920
2003-2004,2003,Female,Unintentional Falls,65+,Older Adult,54970,200,3.33,10994000
2003-2004,2003,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,7,344,5.73,2408
2003-2004,2003,Male,Acute Myocardial Infarction,20-44,Young Adult,705,167,2.78,117735
2003-2004,2003,Male,Acute Myocardial Infarction,45-64,Middle Adult,4000,166,2.77,664000
2003-2004,2003,Male,Acute Myocardial Infarction,65+,Older Adult,4647,219,3.65,1017693
2003-2004,2003,Male,Asthma,0-19,Pediatric & Youth,22029,135,2.25,2973915
2003-2004,2003,Male,Asthma,20-44,Young Adult,9281,117,1.95,1085877
2003-2004,2003,Male,Asthma,45-64,Middle Adult,3404,135,2.25,459540
2003-2004,2003,Male,Asthma,65+,Older Adult,1459,166,2.77,242194
2003-2004,2003,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,21,87,1.45,1827
2003-2004,2003,Male,Influenzal Pneumonia,20-44,Young Adult,21,153,2.55,3213
2003-2004,2003,Male,Influenzal Pneumonia,45-64,Middle Adult,15,112,1.87,1680
2003-2004,2003,Male,Influenzal Pneumonia,65+,Older Adult,21,184,3.07,3864
2003-2004,2003,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,22377,115,1.92,2573355
2003-2004,2003,Male,Motor Vehicle Collisions,20-44,Young Adult,28964,135,2.25,3910140
2003-2004,2003,Male,Motor Vehicle Collisions,45-64,Middle Adult,10943,145,2.42,1586735
2003-2004,2003,Male,Motor Vehicle Collisions,65+,Older Adult,3640,160,2.67,582400
2003-2004,2003,Male,Pneumonia,0-19,Pediatric & Youth,10055,155,2.58,1558525
2003-2004,2003,Male,Pneumonia,20-44,Young Adult,5050,173,2.88,873650
2003-2004,2003,Male,Pneumonia,45-64,Middle Adult,5327,207,3.45,1102689
2003-2004,2003,Male,Pneumonia,65+,Older Adult,12119,270,4.5,3272130
2003-2004,2003,Male,Trauma,0-19,Pediatric & Youth,251651,100,1.67,25165100
2003-2004,2003,Male,Trauma,20-44,Young Adult,303230,109,1.82,33052070
2003-2004,2003,Male,Trauma,45-64,Middle Adult,121150,114,1.9,13811100
2003-2004,2003,Male,Trauma,65+,Older Adult,51563,147,2.45,7579761
2003-2004,2003,Male,Unintentional Falls,0-19,Pediatric & Youth,72683,107,1.78,7777081
2003-2004,2003,Male,Unintentional Falls,20-44,Young Adult,44930,123,2.05,5526390
2003-2004,2003,Male,Unintentional Falls,45-64,Middle Adult,28700,140,2.33,4018000
2003-2004,2003,Male,Unintentional Falls,65+,Older Adult,26121,184,3.07,4806264
