fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2020-2021,2020,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,1403,84,1.4,0,117852
2020-2021,2020,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,222,3.7,0,0
2020-2021,2020,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
2020-2021,2020,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
2020-2021,2020,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
2020-2021,2020,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,6,183,3.05,0,1098
2020-2021,2020,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0,0
2020-2021,2020,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0,0
2020-2021,2020,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0,0
2020-2021,2020,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
