fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,87,144,2.4,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,15,150,2.5,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,411,6.85,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Any,Not Admitted,1349,198,3.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,9,180,3.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,22,213,3.55,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,7,222,3.7,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,138,228,3.8,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,24,372,6.2,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Acute Myocardial Infarction,Not Admitted,2444,72,1.2,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Any,Not Admitted,141657,318,5.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Asthma,Not Admitted,1799,318,5.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Influenzal Pneumonia,Not Admitted,0,198,3.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Motor Vehicle Collisions,Not Admitted,4598,276,4.6,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Pneumonia,Not Admitted,2280,432,7.2,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Trauma,Not Admitted,15237,276,4.6,0
2021-2022,2021,CTAS I - Resuscitation,1,Total,Unintentional Falls,Not Admitted,3712,348,5.8,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,554,78,1.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Any,Not Admitted,13856,228,3.8,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,146,327,5.45,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,198,3.3,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,581,120,2.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,227,300,5.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,1758,156,2.6,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,400,192,3.2,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Any,Not Admitted,0,0,0.0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0,0.0,0
